,combinedPval,adjustedPval
NDUFB3,1.80859821278963e-18,4.6108685196231e-16
SNRPN,1.9815391729212e-18,5.04071270880967e-16
JCAD,2.07482116836819e-18,5.26648286978486e-16
CCDC80,2.16473031007366e-18,5.48272667814243e-16
GPX4,2.17931444032593e-18,5.50766540333158e-16
PLAT,2.2337160653472e-18,5.63290628657947e-16
CHURC1,2.30100850067055e-18,5.79004222891395e-16
NSA2,2.5292093196475e-18,6.35051967797947e-16
SDHB,2.53608900892543e-18,6.35407000062731e-16
PRDX1,2.69908917934347e-18,6.74791750972189e-16
RND2,3.02476183733127e-18,7.54589489953891e-16
SOD1,3.04741133433132e-18,7.58611953455759e-16
RAB1A,3.09472123221321e-18,7.68742983912646e-16
HSPA9,3.17384729556291e-18,7.86717242129947e-16
ENSGALG00000028402,3.43812782480576e-18,8.50412518995562e-16
ENSGALG00000046740,3.44793598763483e-18,8.51027846566606e-16
HNRNPA1,3.59997907073178e-18,8.86672952918616e-16
ENSGALG00000016826,3.70595928559728e-18,9.10846065521814e-16
JAM3,3.91471850657675e-18,9.60124785174588e-16
TUBB4B,4.22779467401651e-18,1.03472695166461e-15
H2AFZ,4.24328088817092e-18,1.03633534946331e-15
NDUFV1,4.39454114474792e-18,1.07102754335921e-15
VAPA,4.67485358336059e-18,1.13696108525746e-15
PFDN6,5.00896482868459e-18,1.21567630674891e-15
ALCAM,5.08224439376573e-18,1.23089155416646e-15
DBI,5.62893672835832e-18,1.36046312340887e-15
UQCRC2,5.89114459991564e-18,1.42088237826832e-15
NINJ2,5.99729839806578e-18,1.44349076848496e-15
SEPSECS,6.02840547854915e-18,1.44798004866231e-15
TXNDC17,6.05890744545594e-18,1.45230577205219e-15
ISCU,6.31980729546277e-18,1.51172588790404e-15
ANGPT1,6.39568789126481e-18,1.52673543147487e-15
YWHAQ,6.60040291838072e-18,1.57237492462456e-15
MRPS21,6.66274324093366e-18,1.58398003000552e-15
ENG,6.7148480860481e-18,1.59310938279182e-15
